image_id,wind_speed,storm_id
dce_206,160,dce
dce_209,160,dce
dce_204,160,dce
dce_205,160,dce
dce_207,160,dce
dce_208,160,dce
tmv_107,155,tmv
rdc_054,155,rdc
rdc_053,155,rdc
rdc_052,155,rdc
rdc_051,155,rdc
rdc_055,155,rdc
rdc_050,155,rdc
rdc_049,155,rdc
rdc_056,155,rdc
rdc_057,155,rdc
xgr_025,155,xgr
rdc_058,155,rdc
rdc_059,155,rdc
rdc_060,155,rdc
rdc_061,155,rdc
xgr_026,155,xgr
xgr_024,155,xgr
xgr_016,155,xgr
xgr_023,155,xgr
xgr_021,155,xgr
dce_215,155,dce
xgr_019,155,xgr
xgr_018,155,xgr
xgr_017,155,xgr
xgr_020,155,xgr
xgr_022,155,xgr
dce_214,155,dce
dce_213,155,dce
dce_211,155,dce
dce_210,155,dce
rdc_062,155,rdc
rdc_063,155,rdc
rdc_064,155,rdc
rdc_065,155,rdc
rdc_066,155,rdc
rdc_067,155,rdc
rdc_068,155,rdc
rdc_069,155,rdc
rdc_070,155,rdc
dce_203,155,dce
dce_202,155,dce
dce_201,155,dce
dce_200,155,dce
dce_199,155,dce
dce_198,155,dce
dce_212,155,dce
tmv_106,154,tmv
rdc_048,154,rdc
rdc_047,154,rdc
xgr_027,154,xgr
xgr_015,153,xgr
tmv_105,153,tmv
xgr_013,152,xgr
tmv_104,152,tmv
xgr_028,152,xgr
xgr_014,152,xgr
xgr_029,151,xgr
xgr_011,151,xgr
xgr_012,151,xgr
tmv_103,151,tmv
tmv_102,150,tmv
ike_088,150,ike
psz_140,150,psz
pcq_051,150,pcq
ike_090,150,ike
ike_091,150,ike
ike_092,150,ike
ike_093,150,ike
ike_094,150,ike
ike_095,150,ike
ike_096,150,ike
pcq_047,150,pcq
pcq_050,150,pcq
pcq_049,150,pcq
ike_089,150,ike
xgr_030,150,xgr
pcq_048,150,pcq
psz_143,150,psz
eck_149,150,eck
psz_142,150,psz
psz_141,150,psz
xgr_010,150,xgr
psz_144,150,psz
xgr_009,149,xgr
tmv_099,149,tmv
tmv_100,149,tmv
tmv_101,149,tmv
psz_138,149,psz
eck_150,149,eck
eck_148,149,eck
psz_145,149,psz
ike_097,149,ike
xgr_031,149,xgr
psz_139,149,psz
eck_146,149,eck
eck_147,149,eck
psz_137,149,psz
eck_145,148,eck
xgr_008,148,xgr
pcq_046,148,pcq
eck_151,148,eck
tmv_097,148,tmv
eck_144,148,eck
psz_135,148,psz
psz_136,148,psz
ike_098,148,ike
pcq_045,148,pcq
tmv_098,148,tmv
tmv_096,147,tmv
psz_146,147,psz
eck_143,147,eck
eck_152,147,eck
pcq_044,147,pcq
psz_134,147,psz
tmv_095,146,tmv
tmv_094,146,tmv
tmv_093,146,tmv
eck_141,146,eck
psz_147,146,psz
eck_140,146,eck
pcq_042,146,pcq
psz_132,146,psz
xgr_032,146,xgr
eck_142,146,eck
pcq_043,146,pcq
psz_131,146,psz
pcq_041,146,pcq
xgr_007,146,xgr
eck_153,146,eck
psz_133,146,psz
ike_087,146,ike
dce_218,145,dce
dce_220,145,dce
pcq_040,145,pcq
dce_197,145,dce
dce_196,145,dce
dce_221,145,dce
dce_216,145,dce
dce_217,145,dce
dce_195,145,dce
dce_219,145,dce
dce_193,145,dce
tmv_092,145,tmv
eck_139,145,eck
psz_130,145,psz
rdc_086,145,rdc
rdc_085,145,rdc
rdc_084,145,rdc
rdc_083,145,rdc
rdc_082,145,rdc
psz_102,145,psz
psz_101,145,psz
psz_100,145,psz
dce_194,145,dce
eck_154,145,eck
xgr_006,145,xgr
dce_192,145,dce
xgr_033,145,xgr
xgr_005,144,xgr
psz_127,144,psz
psz_128,144,psz
psz_129,144,psz
xgr_034,144,xgr
rdc_087,144,rdc
eck_155,144,eck
pcq_039,144,pcq
rdc_081,144,rdc
rdc_080,144,rdc
rdc_079,144,rdc
psz_148,144,psz
psz_103,144,psz
eck_138,143,eck
eck_156,143,eck
pcq_038,143,pcq
psz_104,143,psz
tmv_108,143,tmv
psz_126,143,psz
psz_125,143,psz
rdc_078,143,rdc
rdc_077,143,rdc
ike_086,143,ike
ike_099,143,ike
gux_090,142,gux
ike_100,142,ike
psz_124,142,psz
xgr_035,142,xgr
rdc_076,142,rdc
pcq_037,142,pcq
eck_157,142,eck
tmv_091,142,tmv
psz_149,142,psz
tmv_109,142,tmv
eck_158,141,eck
ike_101,141,ike
pcq_036,141,pcq
pcq_052,141,pcq
xgr_004,141,xgr
psz_122,141,psz
eck_137,141,eck
psz_099,141,psz
psz_105,141,psz
rdc_073,141,rdc
rdc_074,141,rdc
rdc_075,141,rdc
rdc_088,141,rdc
psz_121,141,psz
xgr_036,141,xgr
psz_123,141,psz
efl_109,140,efl
tmv_090,140,tmv
fzw_009,140,fzw
psz_120,140,psz
pcq_035,140,pcq
fzw_019,140,fzw
hqw_155,140,hqw
hqw_154,140,hqw
hqw_153,140,hqw
